fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6633,0.5742105263157895,0.7560975609756098,0.31,0.43971631205673756
01,source,0.6555000000000001,0.5131578947368421,0.5428571428571428,0.19,0.28148148148148144
02,source,0.6359999999999999,0.5436842105263158,0.6785714285714286,0.19,0.29687500000000006
00,target,0.6879000000000001,0.5473684210526316,0.6545454545454545,0.36,0.464516129032258
01,target,0.5015000000000001,0.48578947368421055,0.3829787234042553,0.18,0.2448979591836734
02,target,0.6887,0.5594736842105263,0.5246913580246914,0.85,0.648854961832061
arithmetic mean,,0.6388166666666667,0.537280701754386,0.5899569447297638,0.3466666666666666,0.3960569739310353
harmonic mean,,0.631231959027734,0.5356012064630304,0.5616325570759442,0.2579322089686804,0.3535123325871212

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6388166666666667,0.537280701754386,0.5899569447297638,0.3466666666666666,0.3960569739310353
"harmonic mean over all machine types, sections, and domains",,0.631231959027734,0.5356012064630304,0.5616325570759442,0.2579322089686804,0.3535123325871212

